"","long","lat"
"V.600",-70.473116857092,-48.0775376431797
"V.601",-70.442381005827,-49.0540702793839
"V.602",-70.410251795971,-50.0287997456473
"V.603",-70.376374057688,-51.0019343627394
"V.604",-70.340857074004,-51.9736448853896
"V.605",-70.303291033569,-52.9441088985163
"V.606",-70.263703257139,-53.9135210625108
"V.607",-70.221793216392,-54.8820657924807
"V.608",-70.177478949057,-55.8499070129661
"V.609",-70.130487247567,-56.8172564598312
"V.610",-70.080544904356,-57.7842951330891
"V.611",-70.027406032613,-58.7512245233203
"V.612",-69.970770104016,-59.7181948946866
"V.613",-69.910281948726,-60.6854316434304
"V.614",-69.845449793124,-61.6530850337136
"V.615",-69.775973108887,-62.6213941221572
"V.616",-69.70105959407,-63.590481852166
"V.617",-69.620326758081,-64.5605599596046
"V.618",-69.532763732921,-65.5318060293913
"V.619",-69.437906065728,-66.5044113068228
"V.620",-69.334415039424,-67.4785260560608
"V.621",-69.221416389795,-68.4543278620239
"V.622",-69.097052305388,-69.4320079700087
"V.623",-68.960038710637,-70.411716644177
"V.624",-68.807862095929,-71.3936041486905
"V.625",-68.63833680073,-72.377820747711
"V.626",-68.447801843643,-73.364509875211
"V.627",-68.235710809536,-74.3545457954043
"V.628",-67.990534339089,-75.3477987346968
"V.629",-67.708911979231,-76.3438110704139
"V.630",-67.381363427394,-77.342637444069
"V.631",-66.996359324259,-78.3442778556622
"V.632",-66.537097404467,-79.3486844938693
"V.633",-65.979917892734,-80.3557753964202
"V.634",-65.289959503536,-81.3653456576398
"V.635",-64.415558685991,-82.3772245227988
"V.636",-63.266638905325,-83.3905445578727
"V.637",-61.695804679249,-84.4038167816225
"V.638",-59.423428063142,-85.4145618353793
"V.639",-55.86025497693,-86.4174453414014
"V.640",-49.549979806538,-87.3989435251323
"V.641",-35.9999773235,-88.3143732890215
"V.642",1.61855527073809e-05,-88.961082920395
"V.643",-34.878815431621,27.9242363366202
"V.644",-33.780602975353,27.189244802677
"V.645",-33.106272058976,26.3340316940578
"V.646",-32.442787483001,25.4776796513945
"V.647",-31.790039964401,24.6210236653132
"V.648",-31.147810937123,23.7645042830153
